Item_name,Item_code,Outlet,Outlet_place,Outlet_type,Month,Year,Units,Katalog
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,1,2017,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,1,2018,11146,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,1,2019,11465,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,2,2017,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,2,2018,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,2,2019,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,3,2017,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,3,2018,11465,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,3,2019,14331,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,4,2017,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,4,2018,2866,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,5,2017,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,5,2018,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,6,2017,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,6,2018,20064,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,7,2017,11465,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,7,2018,2293,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,8,2017,25796,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,8,2018,25796,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,9,2017,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,9,2018,2866,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,10,2017,11465,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,10,2018,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,11,2017,5414,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,11,2018,14331,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,12,2017,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE RAB,Mali supermarket,12,2018,0,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,1,2017,51592,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,1,2018,63057,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,1,2019,4586,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,2,2017,20064,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,2,2018,37261,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,2,2019,2293,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,3,2017,25796,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,3,2018,28662,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,3,2019,28662,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,4,2017,42994,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,4,2018,0,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,5,2017,37261,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,5,2018,60191,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,6,2017,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,6,2018,60191,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,7,2017,11465,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,7,2018,34395,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,8,2017,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,8,2018,17197,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,9,2017,20064,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,9,2018,31529,1
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,10,2017,42994,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,10,2018,8599,0
Artikl_SM 225G,6207691,PLODINE DD,PLODINE OGULIN,Mali supermarket,11,2017,14331,0
